time,mean_current,resolved_phase,epsilon_eff,slips,baseline_magnitude,gated_magnitude,baseline_entropy,gated_entropy,gated_alpha,gated_mu
11.0500,0.938778,-2.942540,0.180000,0,1.574533,1.552924,0.903817,0.903893,1.049869,0.552450
11.1000,0.938742,-2.929109,0.180000,0,1.575119,1.554146,0.903706,0.903780,1.049936,0.552379
11.1500,0.938707,-2.915717,0.180000,0,1.575714,1.555362,0.903599,0.903670,1.050000,0.552310
11.2000,0.938673,-2.902360,0.180000,0,1.576318,1.556570,0.903495,0.903564,1.050063,0.552243
11.2500,0.938642,-2.889038,0.180000,0,1.576929,1.557771,0.903393,0.903460,1.050123,0.552178
11.3000,0.938613,-2.875745,0.180000,0,1.577549,1.558966,0.903295,0.903360,1.050182,0.552115
11.3500,0.938586,-2.862481,0.180000,0,1.578175,1.560153,0.903199,0.903263,1.050239,0.552053
11.4000,0.938561,-2.849242,0.180000,0,1.578809,1.561332,0.903106,0.903168,1.050295,0.551994
11.4500,0.938539,-2.836026,0.180000,0,1.579449,1.562504,0.903016,0.903076,1.050349,0.551936
11.5000,0.938520,-2.822829,0.180000,0,1.580095,1.563668,0.902929,0.902987,1.050401,0.551880
11.5500,0.938504,-2.809648,0.180000,0,1.580746,1.564825,0.902844,0.902900,1.050452,0.551825
11.6000,0.938491,-2.796481,0.180000,0,1.581402,1.565972,0.902762,0.902816,1.050501,0.551772
11.6500,0.938481,-2.783325,0.180000,0,1.582062,1.567111,0.902681,0.902735,1.050549,0.551721
11.7000,0.938474,-2.770177,0.180000,0,1.582726,1.568242,0.902604,0.902655,1.050595,0.551671
11.7500,0.938470,-2.757034,0.180000,0,1.583393,1.569362,0.902528,0.902578,1.050640,0.551623
11.8000,0.938470,-2.743893,0.180000,0,1.584062,1.570473,0.902455,0.902503,1.050684,0.551576
11.8500,0.938473,-2.730750,0.180000,0,1.584733,1.571574,0.902384,0.902431,1.050726,0.551530
11.9000,0.938479,-2.717603,0.180000,0,1.585405,1.572664,0.902315,0.902360,1.050767,0.551486
11.9500,0.938488,-2.704450,0.180000,0,1.586077,1.573743,0.902247,0.902292,1.050807,0.551442
12.0000,0.938501,-2.691286,0.180000,0,1.586748,1.574811,0.902182,0.902225,1.050846,0.551401
12.0500,0.938516,-2.678109,0.180000,0,1.587419,1.575866,0.902119,0.902161,1.050884,0.551360
12.1000,0.938534,-2.664916,0.180000,0,1.588087,1.576909,0.902057,0.902098,1.050920,0.551321
12.1500,0.938556,-2.651704,0.180000,0,1.588753,1.577938,0.901998,0.902037,1.050956,0.551282
12.2000,0.938579,-2.638471,0.180000,0,1.589414,1.578954,0.901940,0.901978,1.050990,0.551245
12.2500,0.938606,-2.625213,0.180000,0,1.590072,1.579956,0.901884,0.901921,1.051023,0.551209
12.3000,0.938635,-2.611928,0.180000,0,1.590724,1.580943,0.901829,0.901865,1.051056,0.551174
12.3500,0.938666,-2.598612,0.180000,0,1.591370,1.581914,0.901776,0.901811,1.051087,0.551140
12.4000,0.938699,-2.585264,0.180000,0,1.592009,1.582870,0.901724,0.901759,1.051118,0.551107
12.4500,0.938733,-2.571881,0.180000,0,1.592641,1.583809,0.901674,0.901708,1.051147,0.551075
12.5000,0.938770,-2.558459,0.180000,0,1.593264,1.584730,0.901626,0.901658,1.051176,0.551044
12.5500,0.938807,-2.544997,0.180000,0,1.593877,1.585633,0.901579,0.901610,1.051204,0.551013
12.6000,0.938846,-2.531492,0.180000,0,1.594480,1.586518,0.901533,0.901563,1.051231,0.550984
12.6500,0.938885,-2.517942,0.180000,0,1.595071,1.587384,0.901489,0.901518,1.051258,0.550955
12.7000,0.938926,-2.504343,0.180000,0,1.595651,1.588229,0.901445,0.901474,1.051283,0.550928
12.7500,0.938966,-2.490695,0.180000,0,1.596217,1.589054,0.901403,0.901431,1.051308,0.550901
12.8000,0.939006,-2.476995,0.180000,0,1.596770,1.589858,0.901363,0.901390,1.051332,0.550875
12.8500,0.939047,-2.463241,0.180000,0,1.597308,1.590639,0.901323,0.901349,1.051356,0.550849
12.9000,0.939087,-2.449430,0.180000,0,1.597830,1.591398,0.901285,0.901310,1.051378,0.550825
12.9500,0.939126,-2.435562,0.180000,0,1.598336,1.592134,0.901248,0.901272,1.051400,0.550801
